10, 1355
10, 1126
10, 1196
10, 1103
10, 1065
10, 1085
10, 1075
10, 1085
10, 1074
10, 1067
20, 1165
20, 1187
20, 1081
20, 1165
20, 1170
20, 1164
20, 1178
20, 1164
20, 1176
20, 1294
30, 1163
30, 1161
30, 1153
30, 1164
30, 1151
30, 1167
30, 1312
30, 1305
30, 1145
30, 1160
40, 1235
40, 1242
40, 1241
40, 1210
40, 1271
40, 1248
40, 1253
40, 1263
40, 1252
40, 1258
50, 1249
50, 1265
50, 1329
50, 1314
50, 1261
50, 1248
50, 1306
50, 1300
50, 1339
50, 1318
60, 1542
60, 1319
60, 1291
60, 1310
60, 1310
60, 1486
60, 1337
60, 1309
60, 1311
60, 4483
70, 1547
70, 1491
70, 1390
70, 1493
70, 1390
70, 1482
70, 1637
70, 1563
70, 1396
70, 1562
80, 1420
80, 1543
80, 1632
80, 1553
80, 1482
80, 1580
80, 1420
80, 1417
80, 1423
80, 1554
90, 1546
90, 1644
90, 1476
90, 1544
90, 1692
90, 1628
90, 1616
90, 6846
90, 1533
90, 1673
100, 1621
100, 1687
100, 1669
100, 1589
100, 1589
100, 1595
100, 1698
100, 1570
100, 1592
100, 1710
110, 1690
110, 1831
110, 1624
110, 1625
110, 1800
110, 1815
110, 1819
110, 1698
110, 1810
110, 1664
120, 1823
120, 1706
120, 1757
120, 1726
120, 1768
120, 11199
120, 9874
120, 1804
120, 1646
120, 1744
130, 3287
130, 1715
130, 1728
130, 1873
130, 1885
130, 1780
130, 1722
130, 1727
130, 1777
130, 1883
140, 1765
140, 1801
140, 1796
140, 1791
140, 1780
140, 1780
140, 1910
140, 1944
140, 1907
140, 1959
150, 1918
150, 1920
150, 1868
150, 1868
150, 1831
150, 1840
150, 1848
150, 1857
150, 1851
150, 1842
160, 1936
160, 1930
160, 1941
160, 1937
160, 1941
160, 1928
160, 1914
160, 1997
160, 2007
160, 1982
170, 2066
170, 2155
170, 2140
170, 2133
170, 2060
170, 2063
170, 2088
170, 1989
170, 2069
170, 2103
180, 2141
180, 2255
180, 2095
180, 2059
180, 2129
180, 2248
180, 2242
180, 5386
180, 2192
180, 2222
190, 2348
190, 2183
190, 2176
190, 2148
190, 2158
190, 2166
190, 2185
190, 2169
190, 2186
190, 2162
200, 2320
200, 2385
200, 2364
200, 2228
200, 2303
200, 2205
200, 2144
200, 2214
200, 2202
200, 2293
210, 2378
210, 2449
210, 2903
210, 6489
210, 2737
210, 2284
210, 2280
210, 2244
210, 2269
210, 2269
220, 2358
220, 2271
220, 2336
220, 2336
220, 2338
220, 2322
220, 2250
220, 2348
220, 2330
220, 2329
230, 2352
230, 2396
